danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster,id
0.54,0.253,-14.274,0.032,0.837,0.00139,0.117,0.32,171.949,163973,2,01NSrsQkOZ3PgRcGLGrOT5
0.394,0.16,-22.689,0.0388,0.993,0.969,0.103,0.365,125.197,141958,4,01Obe4SWMXoUKak13Uue71
0.582,0.228,-14.174,0.919,0.0974,0.0,0.344,0.131,187.869,1800386,3,01OC3Fi8FCj4JsvQdl6bvI
0.558,0.558,-10.455,0.0367,0.706,6.83e-05,0.27,0.524,139.914,205413,2,01OOLvNYxeSttThtUj8Mor
0.672,0.836,-3.959,0.071,0.0793,0.000379,0.0891,0.781,104.068,179857,1,01oyRIMjNlMSN00ETiVduQ
0.658,0.853,-8.628,0.0423,0.0317,0.897,0.0817,0.0829,122.02,193105,0,01oZjrRICAL5l0sSFqpb5D
0.543,0.707,-7.636,0.07,0.614,0.0414,0.118,0.515,143.915,216000,1,01PdqaCvij7ryXod6nbtyQ
0.116,0.00315,-33.193,0.0414,0.977,0.304,0.108,0.0375,94.652,228773,4,01PmS44TS3qLB9dfvHUUR2
0.426,0.228,-10.552,0.0322,0.198,0.13,0.0832,0.0822,147.994,343253,2,01Q3OyB05mLgH01fpdAMPP
0.367,0.445,-13.615,0.0286,0.0478,0.00284,0.163,0.149,67.197,287400,2,01Q4wU19hamqnhNjtuvTyI
0.16,0.00158,-25.167,0.199,0.17,0.00121,0.964,0.0113,112.852,175750,3,01Q7qJ90WP59CceunoiD7B
0.632,0.211,-19.3,0.908,0.0699,0.0,0.293,0.37,164.894,63843,3,01qDMi98yyLKpTFl1FK1bf
0.476,0.973,-3.541,0.0749,0.000411,0.77,0.42,0.384,95.0,205133,0,01qepvQsz0gMKfeQXvXlq4
0.751,0.528,-9.582,0.0865,0.769,4.9e-06,0.0782,0.326,126.013,206635,2,01qIefOW1UdSDS1mHoSZ3x
0.268,0.103,-18.574,0.0297,0.625,0.934,0.13,0.0375,95.376,273333,4,01QIxeatz3wbjaO7RJKfbs
